ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
594486,"Чай Basilur Китайский чай Молочный улун (1.5г х 100шт), 150г",https://online.metro-cc.ru/products/100x15g-chaj-basilur-kitajskij-molochnyj-ulun,579,,BASILUR
240996772,"Чай Майский черный сердце цейлона (1.7г x 100шт), 170г",https://online.metro-cc.ru/products/100x17g-chay-mayskiy-chernyy-serdtse-tseylona-paketirovannyy,249,189,МАЙСКИЙ
603139820,"Чай черный Принцесса Нури высокогорный гранулированный, 250г",https://online.metro-cc.ru/products/250g-chay-chernyy-printsessa-nuri-vysokogornyy-granulirovannyy,199,169,ПРИНЦЕССА НУРИ
127547,"RIOBA Чай черный Мятная свежесть (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-chernyj-myatnaya-svezhest-20x2g,275,,RIOBA
550287456,"RIOBA Напиток чайный ромашковый (1.2г x 25шт), 30г",https://online.metro-cc.ru/products/rioba-napitok-chaynyy-romashkovyy-12g-x-25,107,,RIOBA
614789,"Чай Алтайвита Хохот шамана травяной, 40г",https://online.metro-cc.ru/products/40g-altajvita-travyanoj-hohot-shamana,179,,АЛТАЙВИТА
538598,"Чай Green Panda Загадка Тибета черный пуэр крупнолистовой, 100г",https://online.metro-cc.ru/products/zelenaya-panda-zagadka-tibeta-chernyj-puer-100-g,206,,GREEN PANDA
614906,"Чай Алтайвита Витаминный коктейль травяной, 40г",https://online.metro-cc.ru/products/40g-altajvita-travyanoj-vitamin-koktejl,179,,АЛТАЙВИТА
514944,"RIOBA Чай зеленый c жасмином, 400г",https://online.metro-cc.ru/products/rioba-zelenyj-listovoj-c-zhasminom-400g,559,,RIOBA
136580,"Чай Ahmad Tea English Breakfast черный (2г х 25 пак), 50г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-bajhovyj-melkij-english-breakfast-25-pak,130,99.9,AHMAD TEA
615659,"Напиток чайный Eastford Ягоды облепихи с яблоком (6г х 12шт), 72г",https://online.metro-cc.ru/products/72g-napitok-eastford-yagody-oblepihi-yabloko,399,299,EASTFORD
104867,"Чай Ahmad Tea Green Tea зеленый (2г х 25 пак), 50г",https://online.metro-cc.ru/products/ahmad-tea-zelenyj-25h2-g,142,,AHMAD TEA
